anomaly_id,timestamp,line_id,machine_id,symptom,root_cause,solution_applied,resolution_time_minutes,impact_oee,recurrence_count,priority,status
52,2024-12-22 22:20:01.240844,L2,M2-4,Arrêts micro-répétitifs toutes les 10 minutes,Capteur de position défectueux,Remplacement du capteur et recalibration,415,-8,2,Medium,Resolved
53,2024-12-29 22:20:01.240844,L1,M1-2,Augmentation du taux de rebut à 7%,Dérive de la température de séchage,Recalibration du système de contrôle thermique,409,-5,1,High,Resolved
54,2025-01-05 22:20:01.240844,L3,M3-2,Vibrations anormales détectées,Roulements usés sur l'axe principal,Remplacement des roulements et équilibrage,369,-10,4,Low,Resolved
55,2025-01-12 22:20:01.240844,L2,M2-3,Bourrage fréquent au niveau de l'alimentation,Tension d'alimentation incorrecte,Ajustement de la tension et nettoyage des rouleaux,191,-12,1,Critical,Resolved
56,2025-01-19 22:20:01.240844,L1,M1-2,Qualité d'impression dégradée,Viscosité d'encre non conforme,Ajustement de la viscosité et nettoyage des buses,150,-6,1,Medium,Resolved
57,2025-01-26 22:20:01.240844,L1,M1-1,Bourrage fréquent au niveau de l'alimentation,Tension d'alimentation incorrecte,Ajustement de la tension et nettoyage des rouleaux,73,-12,3,High,Resolved
58,2025-02-02 22:20:01.240844,L3,M3-2,Augmentation du taux de rebut à 7%,Dérive de la température de séchage,Recalibration du système de contrôle thermique,38,-5,3,Low,Resolved
59,2025-02-09 22:20:01.240844,L1,M1-2,Arrêts micro-répétitifs toutes les 10 minutes,Capteur de position défectueux,Remplacement du capteur et recalibration,352,-8,2,Critical,Resolved
60,2025-02-16 22:20:01.240844,L3,M3-2,Bourrage fréquent au niveau de l'alimentation,Tension d'alimentation incorrecte,Ajustement de la tension et nettoyage des rouleaux,382,-12,3,High,Resolved
61,2025-02-23 22:20:01.240844,L1,M1-3,Baisse soudaine de performance de 15%,Usure des courroies de transmission,Remplacement des courroies et réalignement,104,-15,1,Critical,Resolved
62,2025-03-02 22:20:01.240844,L1,M1-2,Baisse soudaine de performance de 15%,Usure des courroies de transmission,Remplacement des courroies et réalignement,220,-15,1,Medium,Resolved
63,2025-03-09 22:20:01.240844,L3,M3-1,Bourrage fréquent au niveau de l'alimentation,Tension d'alimentation incorrecte,Ajustement de la tension et nettoyage des rouleaux,68,-12,3,High,Resolved
64,2025-03-16 22:20:01.240844,L3,M3-2,Bourrage fréquent au niveau de l'alimentation,Tension d'alimentation incorrecte,Ajustement de la tension et nettoyage des rouleaux,45,-12,2,Critical,Resolved
65,2025-03-23 22:20:01.240844,L3,M3-1,Vibrations anormales détectées,Roulements usés sur l'axe principal,Remplacement des roulements et équilibrage,327,-10,3,Medium,Resolved
66,2025-03-30 22:20:01.240844,L2,M2-1,Qualité d'impression dégradée,Viscosité d'encre non conforme,Ajustement de la viscosité et nettoyage des buses,213,-6,2,Low,Resolved
67,2025-04-06 22:20:01.240844,L3,M3-2,Baisse soudaine de performance de 15%,Usure des courroies de transmission,Remplacement des courroies et réalignement,90,-15,3,High,Resolved
68,2025-04-13 22:20:01.240844,L1,M1-1,Vibrations anormales détectées,Roulements usés sur l'axe principal,Remplacement des roulements et équilibrage,442,-10,1,Medium,Resolved
69,2025-04-20 22:20:01.240844,L1,M1-2,Augmentation du taux de rebut à 7%,Dérive de la température de séchage,Recalibration du système de contrôle thermique,119,-5,4,Critical,Resolved
70,2025-04-27 22:20:01.240844,L2,M2-2,Baisse soudaine de performance de 15%,Usure des courroies de transmission,Remplacement des courroies et réalignement,51,-15,1,Critical,Resolved
71,2025-05-04 22:20:01.240844,L3,M3-1,Arrêts micro-répétitifs toutes les 10 minutes,Capteur de position défectueux,Remplacement du capteur et recalibration,284,-8,1,High,Resolved
72,2025-05-11 22:20:01.240844,L1,M1-3,Arrêts micro-répétitifs toutes les 10 minutes,Capteur de position défectueux,Remplacement du capteur et recalibration,83,-8,2,Medium,Resolved
73,2025-05-18 22:20:01.240844,L2,M2-1,Bourrage fréquent au niveau de l'alimentation,Tension d'alimentation incorrecte,Ajustement de la tension et nettoyage des rouleaux,329,-12,2,Critical,Resolved
74,2025-05-25 22:20:01.240844,L1,M1-3,Qualité d'impression dégradée,Viscosité d'encre non conforme,Ajustement de la viscosité et nettoyage des buses,315,-6,1,Critical,Resolved
75,2025-06-01 22:20:01.240844,L1,M1-2,Vibrations anormales détectées,Roulements usés sur l'axe principal,Remplacement des roulements et équilibrage,40,-10,1,Critical,Resolved
76,2025-06-08 22:20:01.240844,L2,M2-1,Augmentation du taux de rebut à 7%,Dérive de la température de séchage,Recalibration du système de contrôle thermique,360,-5,3,Medium,Resolved
77,2025-06-15 22:20:01.240844,L3,M3-1,Baisse soudaine de performance de 15%,Usure des courroies de transmission,Remplacement des courroies et réalignement,290,-15,4,Critical,Resolved
78,2025-06-22 22:20:01.240844,L2,M2-4,Arrêts micro-répétitifs toutes les 10 minutes,Capteur de position défectueux,Remplacement du capteur et recalibration,326,-8,1,Low,Resolved
79,2025-06-29 22:20:01.240844,L1,M1-1,Baisse soudaine de performance de 15%,Usure des courroies de transmission,Remplacement des courroies et réalignement,435,-15,1,High,Resolved
80,2025-07-06 22:20:01.240844,L3,M3-1,Augmentation du taux de rebut à 7%,Dérive de la température de séchage,Recalibration du système de contrôle thermique,142,-5,4,Medium,Resolved
81,2025-07-13 22:20:01.240844,L3,M3-1,Baisse soudaine de performance de 15%,Usure des courroies de transmission,Remplacement des courroies et réalignement,233,-15,1,Low,Resolved
82,2025-07-20 22:20:01.240844,L1,M1-2,Bourrage fréquent au niveau de l'alimentation,Tension d'alimentation incorrecte,Ajustement de la tension et nettoyage des rouleaux,365,-12,2,Critical,Resolved
83,2025-07-27 22:20:01.240844,L2,M2-3,Baisse soudaine de performance de 15%,Usure des courroies de transmission,Remplacement des courroies et réalignement,142,-15,4,Low,Resolved
84,2025-08-03 22:20:01.240844,L1,M1-2,Arrêts micro-répétitifs toutes les 10 minutes,Capteur de position défectueux,Remplacement du capteur et recalibration,35,-8,1,Critical,Resolved
85,2025-08-10 22:20:01.240844,L2,M2-3,Qualité d'impression dégradée,Viscosité d'encre non conforme,Ajustement de la viscosité et nettoyage des buses,338,-6,4,Medium,Resolved
86,2025-08-17 22:20:01.240844,L2,M2-1,Arrêts micro-répétitifs toutes les 10 minutes,Capteur de position défectueux,Remplacement du capteur et recalibration,402,-8,2,Critical,Resolved
87,2025-08-24 22:20:01.240844,L2,M2-3,Qualité d'impression dégradée,Viscosité d'encre non conforme,Ajustement de la viscosité et nettoyage des buses,230,-6,3,Medium,Resolved
88,2025-08-31 22:20:01.240844,L2,M2-1,Arrêts micro-répétitifs toutes les 10 minutes,Capteur de position défectueux,Remplacement du capteur et recalibration,240,-8,3,Medium,Resolved
89,2025-09-07 22:20:01.240844,L1,M1-3,Qualité d'impression dégradée,Viscosité d'encre non conforme,Ajustement de la viscosité et nettoyage des buses,172,-6,4,Critical,Resolved
90,2025-09-14 22:20:01.240844,L2,M2-4,Augmentation du taux de rebut à 7%,Dérive de la température de séchage,Recalibration du système de contrôle thermique,109,-5,4,Medium,Resolved
91,2025-09-21 22:20:01.240844,L3,M3-1,Baisse soudaine de performance de 15%,Usure des courroies de transmission,Remplacement des courroies et réalignement,340,-15,2,Critical,Resolved
92,2025-09-28 22:20:01.240844,L2,M2-4,Arrêts micro-répétitifs toutes les 10 minutes,Capteur de position défectueux,Remplacement du capteur et recalibration,331,-8,1,Critical,Resolved
93,2025-10-05 22:20:01.240844,L3,M3-1,Qualité d'impression dégradée,Viscosité d'encre non conforme,Ajustement de la viscosité et nettoyage des buses,394,-6,3,Medium,Resolved
94,2025-10-12 22:20:01.240844,L3,M3-2,Arrêts micro-répétitifs toutes les 10 minutes,Capteur de position défectueux,Remplacement du capteur et recalibration,63,-8,1,Medium,Resolved
95,2025-10-19 22:20:01.240844,L2,M2-4,Baisse soudaine de performance de 15%,Usure des courroies de transmission,Remplacement des courroies et réalignement,290,-15,1,Low,Resolved
96,2025-10-26 22:20:01.240844,L3,M3-1,Augmentation du taux de rebut à 7%,Dérive de la température de séchage,Recalibration du système de contrôle thermique,42,-5,4,Medium,Resolved
97,2025-11-02 22:20:01.240844,L1,M1-1,Baisse soudaine de performance de 15%,Usure des courroies de transmission,Remplacement des courroies et réalignement,367,-15,2,Medium,Resolved
98,2025-11-09 22:20:01.240844,L2,M2-1,Baisse soudaine de performance de 15%,Usure des courroies de transmission,Remplacement des courroies et réalignement,397,-15,3,High,Resolved
99,2025-11-16 22:20:01.240844,L2,M2-1,Qualité d'impression dégradée,Viscosité d'encre non conforme,Ajustement de la viscosité et nettoyage des buses,468,-6,3,Critical,Resolved
100,2025-11-23 22:20:01.240844,L3,M3-1,Bourrage fréquent au niveau de l'alimentation,Tension d'alimentation incorrecte,Ajustement de la tension et nettoyage des rouleaux,226,-12,1,Low,Resolved
101,2025-11-30 22:20:01.240844,L1,M1-1,Bourrage fréquent au niveau de l'alimentation,Tension d'alimentation incorrecte,Ajustement de la tension et nettoyage des rouleaux,218,-12,3,Critical,Resolved
102,2025-12-07 22:20:01.240844,L2,M2-4,Qualité d'impression dégradée,Viscosité d'encre non conforme,Ajustement de la viscosité et nettoyage des buses,264,-6,3,Low,Resolved
103,2025-12-14 22:20:01.240844,L1,M1-2,Baisse soudaine de performance de 15%,Usure des courroies de transmission,Remplacement des courroies et réalignement,435,-15,1,Low,Resolved
104,2025-12-21 22:20:01.240844,L1,M1-3,Vibrations anormales détectées,Roulements usés sur l'axe principal,Remplacement des roulements et équilibrage,87,-10,2,Low,Resolved
105,2025-12-28 22:20:01.240844,L3,M3-1,Augmentation du taux de rebut à 7%,Dérive de la température de séchage,Recalibration du système de contrôle thermique,403,-5,1,High,Resolved
